frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
70,1776361253.4719,0,17,0.309774,0.675386,-0.077340,0.108276,-0.019363,-0.077340
70,1776361253.4719,0,18,0.359401,0.670830,-0.058290,0.157903,-0.023918,-0.058290
70,1776361253.4719,0,19,0.339313,0.681752,-0.034895,0.137816,-0.012997,-0.034895
70,1776361253.4719,0,20,0.315333,0.680233,-0.021523,0.113835,-0.014516,-0.021523
75,1776361254.2586,0,0,0.194651,0.699811,0.000000,0.000000,0.000000,0.000000
75,1776361254.2586,0,1,0.209762,0.600802,0.013458,0.015111,-0.099009,0.013458
75,1776361254.2586,0,2,0.244766,0.497008,0.000465,0.050114,-0.202803,0.000465
75,1776361254.2586,0,3,0.264598,0.416144,-0.014033,0.069946,-0.283667,-0.014033
75,1776361254.2586,0,4,0.252893,0.351688,-0.025414,0.058242,-0.348123,-0.025414
75,1776361254.2586,0,5,0.273105,0.497316,-0.042935,0.078454,-0.202495,-0.042935
75,1776361254.2586,0,6,0.359014,0.507878,-0.044480,0.164363,-0.191934,-0.044480
75,1776361254.2586,0,7,0.344965,0.533905,-0.029435,0.150314,-0.165906,-0.029435
75,1776361254.2586,0,8,0.317795,0.533896,-0.020889,0.123144,-0.165915,-0.020889
75,1776361254.2586,0,9,0.284844,0.554580,-0.059703,0.090193,-0.145231,-0.059703
75,1776361254.2586,0,10,0.366031,0.568191,-0.056850,0.171380,-0.131621,-0.056850
75,1776361254.2586,0,11,0.343567,0.587768,-0.032734,0.148916,-0.112043,-0.032734
75,1776361254.2586,0,12,0.311811,0.587101,-0.019618,0.117160,-0.112710,-0.019618
75,1776361254.2586,0,13,0.294357,0.618720,-0.070418,0.099706,-0.081091,-0.070418
75,1776361254.2586,0,14,0.359171,0.625576,-0.057361,0.164520,-0.074235,-0.057361
75,1776361254.2586,0,15,0.338609,0.641530,-0.025755,0.143958,-0.058282,-0.025755
75,1776361254.2586,0,16,0.309806,0.637036,-0.009658,0.115155,-0.062775,-0.009658
75,1776361254.2586,0,17,0.302183,0.680476,-0.081309,0.107532,-0.019336,-0.081309
75,1776361254.2586,0,18,0.352634,0.677475,-0.062153,0.157983,-0.022336,-0.062153
75,1776361254.2586,0,19,0.331446,0.688537,-0.037543,0.136794,-0.011275,-0.037543
75,1776361254.2586,0,20,0.306362,0.686820,-0.023189,0.111710,-0.012991,-0.023189
80,1776361255.0471,0,0,0.187064,0.705926,0.000000,0.000000,0.000000,0.000000
80,1776361255.0471,0,1,0.202875,0.607155,0.014018,0.015811,-0.098771,0.014018
80,1776361255.0471,0,2,0.238294,0.503618,-0.000460,0.051229,-0.202308,-0.000460
80,1776361255.0471,0,3,0.258055,0.422536,-0.016486,0.070991,-0.283390,-0.016486
80,1776361255.0471,0,4,0.246372,0.357870,-0.029229,0.059308,-0.348056,-0.029229
80,1776361255.0471,0,5,0.266438,0.502432,-0.047542,0.079374,-0.203494,-0.047542
80,1776361255.0471,0,6,0.353802,0.513146,-0.050663,0.166738,-0.192780,-0.050663
80,1776361255.0471,0,7,0.336980,0.537174,-0.036021,0.149916,-0.168752,-0.036021
80,1776361255.0471,0,8,0.307619,0.535472,-0.027823,0.120555,-0.170454,-0.027823
80,1776361255.0471,0,9,0.276421,0.560505,-0.065688,0.089356,-0.145421,-0.065688
80,1776361255.0471,0,10,0.359499,0.575222,-0.064084,0.172434,-0.130704,-0.064084
80,1776361255.0471,0,11,0.335752,0.592803,-0.039388,0.148687,-0.113123,-0.039388
80,1776361255.0471,0,12,0.303674,0.591021,-0.026309,0.116610,-0.114905,-0.026309
80,1776361255.0471,0,13,0.284480,0.625427,-0.077383,0.097416,-0.080499,-0.077383
80,1776361255.0471,0,14,0.352075,0.633062,-0.065136,0.165011,-0.072864,-0.065136
80,1776361255.0471,0,15,0.331169,0.646938,-0.031837,0.144105,-0.058989,-0.031837
80,1776361255.0471,0,16,0.302660,0.641497,-0.015047,0.115596,-0.064429,-0.015047
80,1776361255.0471,0,17,0.291007,0.687647,-0.089242,0.103943,-0.018279,-0.089242
80,1776361255.0471,0,18,0.344280,0.684589,-0.070788,0.157215,-0.021337,-0.070788
80,1776361255.0471,0,19,0.322644,0.695115,-0.044882,0.135580,-0.010811,-0.044882
80,1776361255.0471,0,20,0.297305,0.693823,-0.029874,0.110241,-0.012103,-0.029874
85,1776361255.8328,0,0,0.191445,0.739533,0.000000,0.000000,0.000000,0.000000
85,1776361255.8328,0,1,0.204741,0.631968,0.014910,0.013296,-0.107565,0.014910
85,1776361255.8328,0,2,0.243039,0.530491,0.000374,0.051594,-0.209043,0.000373
85,1776361255.8328,0,3,0.265725,0.448072,-0.015085,0.074280,-0.291461,-0.015085
85,1776361255.8328,0,4,0.255067,0.378422,-0.027644,0.063622,-0.361111,-0.027644
85,1776361255.8328,0,5,0.280915,0.541211,-0.054010,0.089471,-0.198322,-0.054010
