epoch,accuracy,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.23846153914928436,8.870401382446289,0.6948717832565308,1.0,0.6499999761581421,7.852810859680176,0.949999988079071,1.0
1,0.446153849363327,7.298771381378174,0.8564102649688721,1.0,0.800000011920929,6.314026832580566,0.949999988079071,1.0
2,0.5846154093742371,5.996261119842529,0.9256410002708435,1.0,0.6499999761581421,5.335635185241699,0.949999988079071,1.0
3,0.7769230604171753,4.9168925285339355,0.9820512533187866,1.0,0.8500000238418579,4.330812931060791,1.0,1.0
4,0.8256410360336304,4.152871131896973,0.9871794581413269,1.0,0.8500000238418579,3.930730104446411,1.0,1.0
5,0.9128205180168152,3.5290064811706543,1.0,1.0,0.949999988079071,3.2138969898223877,1.0,1.0
6,0.9102563858032227,3.102003574371338,0.9974358677864075,1.0,0.949999988079071,2.819469928741455,1.0,1.0
7,0.9487179517745972,2.708817958831787,0.9974358677864075,1.0,0.949999988079071,2.5371108055114746,1.0,1.0
8,0.9820512533187866,2.368443012237549,1.0,1.0,0.949999988079071,2.26583194732666,1.0,1.0
9,0.9615384340286255,2.162149667739868,1.0,1.0,0.8500000238418579,2.505141496658325,1.0,1.0
10,0.9666666388511658,1.9732670783996582,1.0,1.0,0.949999988079071,1.8601367473602295,1.0,1.0
11,0.9076923131942749,1.942694067955017,0.9897435903549194,1.0,0.75,2.3409061431884766,1.0,1.0
12,0.9512820243835449,1.785134196281433,1.0,1.0,1.0,1.5998560190200806,1.0,1.0
13,0.9820512533187866,1.6163806915283203,0.9974358677864075,1.0,0.949999988079071,1.6164665222167969,1.0,1.0
14,0.9846153855323792,1.527855634689331,1.0,1.0,0.949999988079071,1.5329017639160156,1.0,1.0
15,0.9897435903549194,1.4107130765914917,1.0,1.0,0.8999999761581421,1.5043567419052124,1.0,1.0
16,0.9897435903549194,1.3200503587722778,1.0,1.0,0.8999999761581421,1.5371885299682617,0.949999988079071,1.0
17,0.9846153855323792,1.258227825164795,1.0,1.0,0.949999988079071,1.280227541923523,1.0,1.0
18,0.9384615421295166,1.344465970993042,0.9923076629638672,1.0,0.8500000238418579,1.5508670806884766,0.949999988079071,1.0
19,0.9820512533187866,1.2221537828445435,1.0,1.0,0.8500000238418579,1.5324214696884155,0.949999988079071,1.0
20,0.9897435903549194,1.1488776206970215,1.0,1.0,0.949999988079071,1.2490471601486206,1.0,1.0
21,0.9692307710647583,1.1761027574539185,0.9974358677864075,1.0,0.949999988079071,1.1779396533966064,1.0,1.0
22,0.9948717951774597,1.0655415058135986,1.0,1.0,1.0,0.9940322041511536,1.0,1.0
23,0.9974358677864075,0.9965649843215942,1.0,1.0,1.0,0.9211060404777527,1.0,1.0
24,0.9897435903549194,0.9628791809082031,1.0,1.0,0.8999999761581421,0.9544011950492859,1.0,1.0
25,1.0,0.9117196202278137,1.0,1.0,0.8999999761581421,1.008960485458374,1.0,1.0
26,0.9974358677864075,0.869320809841156,1.0,1.0,0.949999988079071,0.8673728704452515,1.0,1.0
27,0.9974358677864075,0.8244881629943848,1.0,1.0,0.949999988079071,0.8519388437271118,1.0,1.0
28,1.0,0.7880138158798218,1.0,1.0,0.8999999761581421,0.8951941728591919,1.0,1.0
29,0.9974358677864075,0.7622405290603638,1.0,1.0,0.8999999761581421,0.9344463348388672,1.0,1.0
30,0.9794871807098389,0.7896549105644226,0.9974358677864075,1.0,0.800000011920929,1.338956356048584,1.0,1.0
31,0.9948717951774597,0.7654239535331726,1.0,1.0,0.8999999761581421,0.9863065481185913,1.0,1.0
32,0.9923076629638672,0.7727369070053101,1.0,1.0,0.8999999761581421,1.01670241355896,1.0,1.0
33,0.9974358677864075,0.7469660639762878,1.0,1.0,0.949999988079071,0.886114239692688,1.0,1.0
34,0.9846153855323792,0.7525860071182251,1.0,1.0,0.949999988079071,0.8747938275337219,0.949999988079071,1.0
35,0.9846153855323792,0.743291974067688,1.0,1.0,0.949999988079071,0.7488893270492554,1.0,1.0
36,0.9820512533187866,0.7397004961967468,1.0,1.0,0.949999988079071,0.8722753524780273,0.949999988079071,1.0
37,0.9897435903549194,0.7114348411560059,1.0,1.0,0.949999988079071,0.8323434591293335,1.0,1.0
38,1.0,0.6752715110778809,1.0,1.0,0.949999988079071,0.8088030815124512,1.0,1.0
39,0.9974358677864075,0.6576800346374512,1.0,1.0,0.949999988079071,0.799981951713562,1.0,1.0
40,1.0,0.6524878740310669,1.0,1.0,0.949999988079071,0.7890134453773499,1.0,1.0
41,1.0,0.6304948925971985,1.0,1.0,0.8500000238418579,1.093220591545105,0.949999988079071,1.0
42,0.9948717951774597,0.6242947578430176,0.9974358677864075,1.0,0.8500000238418579,1.0020835399627686,1.0,1.0
43,0.9974358677864075,0.6340046525001526,1.0,1.0,0.949999988079071,0.7908466458320618,1.0,1.0
44,0.9948717951774597,0.6431016325950623,1.0,1.0,0.949999988079071,0.8024957776069641,0.949999988079071,1.0
45,0.928205132484436,0.9463355541229248,0.9794871807098389,1.0,0.6499999761581421,2.095579147338867,0.8500000238418579,1.0
