frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
10,1776371857.7261,0,16,0.491268,0.747422,-0.013591,0.129231,-0.036600,-0.013591
10,1776371857.7261,0,17,0.433888,0.799151,-0.043341,0.071851,0.015129,-0.043341
10,1776371857.7261,0,18,0.472864,0.786127,-0.038904,0.110828,0.002105,-0.038904
10,1776371857.7261,0,19,0.471610,0.778825,-0.023431,0.109573,-0.005197,-0.023431
10,1776371857.7261,0,20,0.463962,0.776158,-0.011578,0.101925,-0.007864,-0.011578
10,1776371857.7261,1,0,0.565001,0.554204,-0.000000,0.000000,0.000000,0.000000
10,1776371857.7261,1,1,0.542862,0.513049,0.030932,-0.022138,-0.041155,0.030932
10,1776371857.7261,1,2,0.516527,0.484041,0.031919,-0.048474,-0.070163,0.031919
10,1776371857.7261,1,3,0.490156,0.472256,0.027168,-0.074845,-0.081948,0.027168
10,1776371857.7261,1,4,0.469221,0.472233,0.024073,-0.095780,-0.081971,0.024073
10,1776371857.7261,1,5,0.509309,0.453745,-0.005906,-0.055691,-0.100459,-0.005906
10,1776371857.7261,1,6,0.467443,0.427582,-0.010954,-0.097557,-0.126622,-0.010954
10,1776371857.7261,1,7,0.446594,0.447493,-0.004307,-0.118407,-0.106710,-0.004307
10,1776371857.7261,1,8,0.443379,0.468863,0.000917,-0.121622,-0.085340,0.000917
10,1776371857.7261,1,9,0.508907,0.466807,-0.027860,-0.056093,-0.087396,-0.027860
10,1776371857.7261,1,10,0.451042,0.461163,-0.037356,-0.113959,-0.093041,-0.037356
10,1776371857.7261,1,11,0.438864,0.492649,-0.027107,-0.126137,-0.061555,-0.027107
10,1776371857.7261,1,12,0.446263,0.512553,-0.017865,-0.118738,-0.041651,-0.017865
10,1776371857.7261,1,13,0.508417,0.489099,-0.045543,-0.056583,-0.065105,-0.045543
10,1776371857.7261,1,14,0.456141,0.509448,-0.049389,-0.108859,-0.044756,-0.049389
10,1776371857.7261,1,15,0.456787,0.537438,-0.033048,-0.108213,-0.016766,-0.033048
10,1776371857.7261,1,16,0.469512,0.547448,-0.021074,-0.095489,-0.006756,-0.021074
10,1776371857.7261,1,17,0.508402,0.516599,-0.061204,-0.056599,-0.037605,-0.061204
10,1776371857.7261,1,18,0.472042,0.541183,-0.058493,-0.092959,-0.013021,-0.058493
10,1776371857.7261,1,19,0.475674,0.558965,-0.046067,-0.089326,0.004762,-0.046067
10,1776371857.7261,1,20,0.486971,0.562426,-0.036628,-0.078029,0.008222,-0.036628
15,1776371857.9912,0,0,0.360118,0.787371,0.000000,0.000000,0.000000,0.000000
15,1776371857.9912,0,1,0.369737,0.720351,0.010262,0.009620,-0.067021,0.010262
15,1776371857.9912,0,2,0.394368,0.668608,0.003868,0.034251,-0.118763,0.003868
15,1776371857.9912,0,3,0.424176,0.640113,-0.002042,0.064058,-0.147259,-0.002042
15,1776371857.9912,0,4,0.450130,0.645769,-0.006677,0.090013,-0.141602,-0.006677
15,1776371857.9912,0,5,0.414912,0.691900,-0.039890,0.054794,-0.095471,-0.039890
15,1776371857.9912,0,6,0.463882,0.678478,-0.047081,0.103765,-0.108893,-0.047081
15,1776371857.9912,0,7,0.487614,0.673737,-0.040793,0.127497,-0.113634,-0.040793
15,1776371857.9912,0,8,0.502029,0.675267,-0.034909,0.141911,-0.112105,-0.034909
15,1776371857.9912,0,9,0.424608,0.731898,-0.044876,0.064490,-0.055474,-0.044876
15,1776371857.9912,0,10,0.484343,0.719157,-0.055473,0.124226,-0.068214,-0.055473
15,1776371857.9912,0,11,0.512776,0.711940,-0.044818,0.152658,-0.075431,-0.044818
15,1776371857.9912,0,12,0.531306,0.710547,-0.035395,0.171188,-0.076825,-0.035395
15,1776371857.9912,0,13,0.429926,0.767516,-0.044064,0.069808,-0.019856,-0.044064
15,1776371857.9912,0,14,0.484242,0.754984,-0.045244,0.124124,-0.032387,-0.045244
15,1776371857.9912,0,15,0.493259,0.747928,-0.023868,0.133141,-0.039443,-0.023868
15,1776371857.9912,0,16,0.493511,0.746060,-0.007943,0.133393,-0.041311,-0.007943
15,1776371857.9912,0,17,0.431320,0.799068,-0.042333,0.071202,0.011697,-0.042333
15,1776371857.9912,0,18,0.470108,0.787824,-0.035222,0.109991,0.000452,-0.035222
15,1776371857.9912,0,19,0.469316,0.780697,-0.017352,0.109198,-0.006674,-0.017352
