epoch,accuracy,loss,top3_acc,top5_acc,val_accuracy,val_loss,val_top3_acc,val_top5_acc
0,0.1581818163394928,8.888260841369629,0.4636363685131073,0.7690908908843994,0.3928571343421936,7.7402191162109375,0.5714285969734192,0.8214285969734192
1,0.31272727251052856,6.955870628356934,0.6563636660575867,0.8836363554000854,0.4285714328289032,5.846532344818115,0.8928571343421936,1.0
2,0.4490908980369568,5.370441436767578,0.8690909147262573,0.9872727394104004,0.6785714030265808,4.534473419189453,1.0,1.0
3,0.5109090805053711,4.344336032867432,0.914545476436615,0.9909090995788574,0.6785714030265808,3.7936465740203857,1.0,1.0
4,0.6727272868156433,3.504477024078369,0.9527272582054138,0.996363639831543,0.5357142686843872,3.282039165496826,0.9285714030265808,1.0
5,0.7581818103790283,2.9381608963012695,0.9781818389892578,0.996363639831543,0.5,3.01417875289917,0.9285714030265808,1.0
6,0.7799999713897705,2.6116771697998047,0.9672726988792419,0.9890909194946289,0.7857142686843872,2.4091315269470215,1.0,1.0
7,0.8636363744735718,2.266512632369995,0.9945454597473145,1.0,0.9285714030265808,2.0102598667144775,1.0,1.0
8,0.9054545164108276,2.049795627593994,0.996363639831543,1.0,0.8571428656578064,1.9517848491668701,1.0,1.0
9,0.9236363768577576,1.9003762006759644,0.9945454597473145,0.9981818199157715,0.9285714030265808,1.726122498512268,1.0,1.0
10,0.9090909361839294,1.800992488861084,0.9945454597473145,1.0,0.9285714030265808,1.7269395589828491,0.9642857313156128,0.9642857313156128
11,0.9418181777000427,1.635048270225525,1.0,1.0,0.8928571343421936,1.7404987812042236,0.9642857313156128,0.9642857313156128
12,0.9381818175315857,1.5345507860183716,0.9927272796630859,0.996363639831543,0.8928571343421936,1.6841970682144165,0.9285714030265808,0.9642857313156128
13,0.9727272987365723,1.4220086336135864,0.9981818199157715,1.0,0.8928571343421936,1.5468883514404297,0.9642857313156128,0.9642857313156128
14,0.9454545378684998,1.4238389730453491,0.996363639831543,0.9981818199157715,0.9285714030265808,1.4242982864379883,0.9642857313156128,0.9642857313156128
15,0.9636363387107849,1.3190025091171265,0.9981818199157715,1.0,0.8928571343421936,1.3904554843902588,1.0,1.0
16,0.9672726988792419,1.253400444984436,0.9981818199157715,1.0,0.8214285969734192,1.6549278497695923,0.9285714030265808,1.0
17,0.9945454597473145,1.135788083076477,0.9981818199157715,1.0,0.8928571343421936,1.3639867305755615,0.9642857313156128,1.0
18,0.9636363387107849,1.1538162231445312,0.996363639831543,0.996363639831543,0.8571428656578064,1.474457859992981,0.9285714030265808,0.9285714030265808
19,0.9345454573631287,1.2176964282989502,0.9890909194946289,0.996363639831543,0.9285714030265808,1.2707099914550781,1.0,1.0
20,0.9272727370262146,1.2867200374603271,0.9909090995788574,0.9981818199157715,0.8571428656578064,1.507568597793579,0.9642857313156128,0.9642857313156128
21,0.9672726988792419,1.1946935653686523,0.9927272796630859,1.0,0.9642857313156128,1.147147297859192,1.0,1.0
22,0.9745454788208008,1.1371204853057861,1.0,1.0,0.9285714030265808,1.1655417680740356,0.9642857313156128,1.0
23,0.9563636183738708,1.096696138381958,0.9981818199157715,1.0,0.8928571343421936,1.177685022354126,1.0,1.0
24,0.9727272987365723,1.0534001588821411,0.9981818199157715,1.0,0.8571428656578064,1.264582872390747,0.9642857313156128,1.0
25,0.9981818199157715,0.9627979397773743,1.0,1.0,0.9285714030265808,1.0486116409301758,1.0,1.0
26,0.9854545593261719,0.9187363386154175,1.0,1.0,0.9642857313156128,0.9580414891242981,1.0,1.0
27,0.9945454597473145,0.885195255279541,1.0,1.0,0.9285714030265808,1.04147207736969,1.0,1.0
28,0.9454545378684998,0.9969384670257568,0.996363639831543,1.0,0.7857142686843872,1.3536033630371094,0.9642857313156128,1.0
29,0.9581817984580994,1.0146031379699707,0.9945454597473145,0.9981818199157715,0.8571428656578064,1.174471139907837,0.9285714030265808,1.0
30,0.9800000190734863,0.9411225914955139,0.9981818199157715,1.0,0.8928571343421936,1.0219721794128418,1.0,1.0
31,0.9890909194946289,0.8834028840065002,0.9981818199157715,1.0,0.9285714030265808,0.9973674416542053,1.0,1.0
32,0.9890909194946289,0.8810365200042725,0.9981818199157715,1.0,0.9642857313156128,0.9249953627586365,1.0,1.0
33,0.9981818199157715,0.8250758647918701,1.0,1.0,0.9642857313156128,0.8543897271156311,1.0,1.0
34,0.9781818389892578,0.8640548586845398,1.0,1.0,0.9285714030265808,0.9074363708496094,1.0,1.0
35,0.9945454597473145,0.8410601019859314,1.0,1.0,0.9642857313156128,0.8818671107292175,1.0,1.0
36,0.9927272796630859,0.8122433423995972,1.0,1.0,0.9642857313156128,0.8690558671951294,1.0,1.0
37,0.9927272796630859,0.7833517789840698,1.0,1.0,0.8928571343421936,0.9684696197509766,1.0,1.0
